InChIKey,smiles,ic50_nm,pIC50,ID
PKGIIXGGPMSMFX-UHFFFAOYSA-N,CCOc1cccc(Nc2ccnc3[nH]c4ccc(S(=O)(=O)N5CCOCC5)cc4c23)c1,54800.0,4.261219441515631,CHEMBL3133826
PKKRQPPSMXAKFM-UHFFFAOYSA-N,CCN(CC)CCC#CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,2.6,8.585026652029182,CHEMBL382073
PLIVFNIUGLLCEK-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC=CC(=C3)C#C)OCCCCCCC(=O)NO,47.775,7.450912713558132,24756910
PLUOKMHXJSTGCQ-UHFFFAOYSA-N,NP(=O)(OCCCCOc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1)N(CCCl)CCCl,2400.0,5.619788758288394,CHEMBL4087646
PLZGWUVPCJPYTP-UHFFFAOYSA-N,Cc1ccc(C2=NN(c3nc(-c4ccc(Br)cc4)cs3)C(c3ccc4c(c3)OCO4)C2)cc1,2230.0,5.651695136951839,CHEMBL2316777
PMNCGPKTYMEYRZ-UHFFFAOYSA-N,NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc2ccccc2c1,880.0,6.055517327849831,CHEMBL2325087
PMNXVLOADVXDDY-UHFFFAOYSA-N,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2)o1,26.0,7.585026652029182,CHEMBL213342
PNKFULCCPOFCJC-UHFFFAOYSA-N,C#Cc1cccc(Nc2c(C#N)cnc3cc(OCCOC)c(OCCOC)cc23)c1,11750.0,4.9299621333922445,CHEMBL95320
PNZSTSKDYDRMIY-UHFFFAOYSA-N,C=CCOC1=CC2=C(C=C1)N=CN=C2NC3=CC=C(C=C3)OCC4=CC=CC=C4,347.0,6.459670525209127,5329485
PPEIWLKYAPFJJV-LJQANCHMSA-N,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(NC(=O)CCCCCCC(=O)NO)cc3)cc12)c1ccccc1,100.0,7.0,CHEMBL3952709
PPFZLLAIQRZNJE-UHFFFAOYSA-N,CCCCn1c(Cc2cc(OC)ccc2OC)nc2c(N)ncnc21,12000.0,4.920818753952375,CHEMBL113194
PQQWXVQKTIBKQQ-UHFFFAOYSA-N,COC1=CC=C(C=C1)CC(=O)NS(=O)(=O)C2=CC=CC=C2,29070.0,4.536554968229572,56673723
PQSPOGSYZPEFAX-UHFFFAOYSA-N,COc1cc(N2CCN(S(C)(=O)=O)CC2)ccc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,1000.0,6.0,CHEMBL3904450
PQZPBNCXXDWVJL-IZZDOVSWSA-N,FC(F)(F)c1ccc(/C=C/c2nc(Cn3ccc4cc(-c5cccc(Br)c5)ccc43)co2)cc1,250.0,6.6020599913279625,CHEMBL5196657
PRGQUWCDXPFMCG-UHFFFAOYSA-N,COc1cc(C2=C(c3cn(COCc4ccccc4)c4ccccc34)CNC2=O)cc(OC)c1OC,36000.0,4.443697499232713,CHEMBL453336
PRTPANUTPYMUDM-UHFFFAOYSA-N,C=CC(=O)NCC1=COC(=N1)C2=C(N=CN=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)N,22.4,7.649751981665837,53341082
PTARQPWAPBTGAG-UHFFFAOYSA-N,Nc1ccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)cc1,36.0,7.443697499232712,CHEMBL205966
PUKNKXZDTFQUDJ-UHFFFAOYSA-N,COc1cccc(Nc2ccnc3[nH]c4ccc(S(=O)(=O)N5CCN(CCO)CC5)cc4c23)c1,689.0,6.161780778092375,CHEMBL3133830
PUPXFZQHXRUOTN-WCMJOSRZSA-N,CC1=C(C(=NC=N1)NC2=CC(=C(C=C2)OCC3=CC(=CC=C3)F)Cl)/C=N/OCCCN4CCOCC4,1800.0,5.7447274948966935,53322690
PWAFUGMDLMAVBQ-CAOOACKPSA-N,COC1=CC(=CC(=C1O)CSC2=CC3=CC=CC=C3C=C2)/C=C(\C#N)/C(=O)N,4600.0,5.337242168318426,44345649
PWDUFJSWDUGFRW-PLACYPQZSA-N,COc1cc2c(Nc3ccc(Br)c(Cl)c3)ncnc2cc1O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2OS(C)(=O)=O,1000.0,6.0,CHEMBL3986082
PWQAYVPGWSRNKH-UHFFFAOYSA-N,C1C(N(N=C1C2=CC(=C(C=C2)Cl)Cl)C3=CC=CC=C3)C4=CC5=CC=CC=C5C=C4,1020.0,5.991399828238082,71525009
PWRDPDGMDCFLLS-UHFFFAOYSA-N,COc1cc(N2CCC(N3CCCCC3)CC2)ccc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4ccc(F)cc4F)c3)nc3ccccn23)n1,1000.0,6.0,CHEMBL3955829
PWZYWYPWXWMXFF-UHFFFAOYSA-N,O=C(Nc1ccc([N+](=O)[O-])cc1)c1ccc(N(CCCl)CCCl)cc1,27190.0,4.5655907924125,CHEMBL589832
PXBVPDIMCOILPS-UHFFFAOYSA-N,CN1CCN(CCC#CC(=O)Nc2cc3c(Nc4ccc(F)c(Br)c4)ncnc3cn2)CC1,0.5,9.30102999566398,CHEMBL437890
PXGDIYNZVLBJPI-UHFFFAOYSA-N,COc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2cc1OCCCN1CCNCCNCCNCC1,2.1,8.67778070526608,CHEMBL4522240
PYKAVGMHBXWHKV-UHFFFAOYSA-N,CC(=O)N1N=C(c2ccccc2)CC1c1ccc(C(=O)OC(C)Cn2c([N+](=O)[O-])cnc2C)cc1,17000.0,4.769551078621726,CHEMBL3747570
PYTBGGBGRRJDNT-UHFFFAOYSA-N,CS(=O)(=O)CCNc1nc(-c2ccc3ncnc(Nc4ccc5c(cnn5Cc5ccccc5)c4)c3c2)cs1,20.0,7.736830361305078,CHEMBL160303
PZRQHOBLMLLAAY-PBNWQPSRSA-N,COc1cc2c(Nc3ccc(N4CCN(C)CC4)c(Cl)c3Cl)ncnc2cc1O[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2F,1000.0,6.0,CHEMBL3893058
PZWSKESWDIFAFK-MUKMJDFVSA-N,C=CC(=O)N1CCC(CC1)[C@@H]2CCNC3N2N=C(C3C(=O)N)C4=CC=C(C=C4)OC5=CC=CC=C5,88.0,7.055517327849831,168289495
QAEQSYBSVNAKON-UHFFFAOYSA-N,Cc1ccc(C2=NN(C(N)=S)C(c3ccc4ccccc4c3)C2)cc1,1040.0,5.982966660701219,CHEMBL2324873
QAKHEFALDLMWRF-SAPNQHFASA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/c1ccccc1N(C)C,1391.0,5.856672870007953,CHEMBL359705
QAQXTNHOYJTPGB-AWNIVKPZSA-N,C1=CC(=CC(=C1)F)COC2=C(C=C(C=C2)NC3=NC=NC4=C3C=C(C=C4)C5=CC=C(C=C5)/C=C/C(=O)NO)Cl,12.0,7.920818753952375,49855758
QATSQOZRVCGSQI-UHFFFAOYSA-N,COc1ccc(C2=NN(C3=NC(=O)CS3)C(c3ccc(OC)cc3)C2)cc1,10480.0,4.979638717352292,CHEMBL1958223
QBKFKKGORMOFFU-MDWZMJQESA-N,C1=CC=C(C=C1)C(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N,18000.0,4.7447274948966935,5328763
QBWGGFOGWBCOKX-UHFFFAOYSA-N,O=C1CNCCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)C1,39.0,7.4089353929735005,CHEMBL234580
QCSMBZIRYHZMOU-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)C#CC2=CN=CN=C2NC3=CC(=C(C=C3)OCC4=CC(=CC=C4)F)Cl,1820.0,5.739928612014925,44410574
QCVAULIYZATFDX-UHFFFAOYSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2cc1NC(=O)CC1CCSS1,160.0,6.795880017344075,CHEMBL4457447
QDGDKZPMYPEBOC-RMKNXTFCSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCOCC1,59.0,7.229147988357855,CHEMBL175556
QDGJXOSRDOUWFQ-UHFFFAOYSA-N,CCN(CC)CCNC(=O)c1cc2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2[nH]1,3840.0,5.415668775632469,CHEMBL1080271
QDRWCBFRDFJYSO-AATRIKPKSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(Cn4ccnc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,1055.0,5.976747540366288,CHEMBL179074
QEGLEPAPQKOMLB-GUGJDKNPSA-N,COc1cc2c(Nc3ccc(Br)c(Cl)c3)ncnc2cc1O[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2NC(C)=O,1000.0,6.0,CHEMBL3961417
QFMCOTDYFYKZNH-UHFFFAOYSA-N,CN1C=CC2=C1C(=NC=N2)NC3=CC(=C(C=C3)OC4=CC(=CC=C4)OC(F)(F)F)Cl,17.0,7.769551078621726,56849562
QFWVLMXFGQNABU-UHFFFAOYSA-N,CCCN(CCC)C(=O)C1=CC=C(C=C1)N(CCCl)CCCl,39640.0,4.401866354186763,46207036
QGSUCQCPNDKUPW-UHFFFAOYSA-N,COc1cccc(Nc2ccnc3[nH]c4ccc(Br)cc4c23)c1,91200.0,4.040005161671584,CHEMBL3133834
QGTJGYUQPVBUGS-QFIPXVFZSA-N,c1cncc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@@H]6CNCCO6)c45)ccc32)c1,410.0,6.3872161432802645,CHEMBL247127
QHAHIGAQWUSAND-FJEPWZHXSA-N,Nc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1/C=N/N1CCN(CCO)CC1,8.0,8.096910013008056,CHEMBL514566
QHSKAAHDPBBIMT-UHFFFAOYSA-N,CN1CCC=C(C1)C(=O)NC2=CC3=C(C=C2)N=CN=C3NC4=CC(=CC=C4)Br,5042.0,5.297397158659573,5328984
QHUDPFOODLMGQO-UHFFFAOYSA-N,O=C(NCCO)C1=Cc2c(ncnc2Nc2ccc(Oc3cccc4sccc34)c(Cl)c2)NCC1,24.0,7.619788758288394,CHEMBL2348417
QIGGJMQSVPHSJB-YRNVUSSQSA-N,C1=CC(=CC(=C1)F)COC2=C(C=C(C=C2)NC3=NC=NC4=C3C=C(C=C4)C5=CC=C(O5)/C=C/C(=O)NO)Cl,4.100000000000001,8.387216143280265,49855568
QIHBCJUYVFGGLJ-UXBLZVDNSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/Cc1c[nH]cn1,69.0,7.161150909262744,CHEMBL359630
QIHGEXNGPGTFID-UHFFFAOYSA-N,Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(COCC6CNCCOC6)c45)ccc32)c1,140.0,6.853871964321762,CHEMBL395591
QINSOUANYOEWLZ-UHFFFAOYSA-N,NP(=O)(OCCCOc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)N(CCCl)CCCl,890.0,6.050609993355087,CHEMBL4069003
QIZIADMZXFUUMW-UHFFFAOYSA-N,CC(=O)N1N=C(c2ccc(Br)cc2)CC1c1ccc(C(=O)OC(C)Cn2c([N+](=O)[O-])cnc2C)cc1,8270.0,5.082494490447454,CHEMBL3747776
